data,mes,om,anv,etapa,origem,destino,lat_origem,long_origem,lat_dest,long_dest,HORA_DEP,HORA_ARR,TEMPO_DE_VOO,SEGMTO,POUSOS,REAL,CAPOTA,LOCAL_1,QTD_1,LOCAL_2,QTD_2,1P,2P,NV,MC1,MC2,MC3,LM1,LM2,LM3,LM4,LM5,COM,MISSAO,D_N,OFRAG,ORGAO,PROGRAMA,SUBPROG,APLICACAO,COMB,OLEO,PAX_EMBARQ,PAX_DESEMB,PAX_LANCADO,CARGA_EMBARQ,CARGA_DESEMB,CARGA_LANCADA
21/jan.,JAN.,017,2802,1,SBMN,SBTS,-3.130,-59.98,2.220,2.220,13:00,15:05,02:05,1,1,01:55,,SBTS,1,,,ABQ,MDO,,RUD,,,MAI,LUS,RBS,,,,69TVDI,DIURNO,210214,COMAE,PEO,SPMAS,FAB,1550,0,1,1,0,3210,3210,0
21/jan.,JAN.,017,2802,2,SBTS,SBMN,2.220,-55.93,-3.130,-3.130,16:30,18:25,01:55,2,1,01:45,,SBMN,1,,,MDO,ABQ,,RUD,,,MAI,LUS,RBS,,,,69TVDI,DIURNO,,COMAE,PEO,SPMAS,FAB,1350,0,0,0,0,687,687,0
22/jan.,JAN.,018,2809,1,SBMN,SBTS,-3.130,-59.98,2.220,2.220,11:35,13:45,02:10,1,1,02:00,,SBTS,1,,,ELM,JOE,,DNL,,,BOR,VAN,,,,,69TV300,DIURNO,210214,COMAE,PEO,SPMAS,FAB,1837,0,0,0,0,4000,4000,0
22/jan.,JAN.,018,2809,2,SBTS,SBMN,2.220,-55.93,-3.130,-3.130,14:25,16:25,02:00,2,1,,,,,,,JOE,ELM,,DNL,,,BOR,VAN,,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,FAB,1550,0,0,0,0,480,480,0
22/jan.,JAN.,020,2803,1,SBMN,SBMN,-3.130,-59.98,-3.130,-3.130,14:20,15:00,00:40,1,1,,,,,,,FVA,BEZ,,REI,,,MAI,,,,,,17TVDI,DIURNO,EEXD,COMPREP,PRPO,SESQAE,,750,0,0,0,0,0,0,0
22/jan.,JAN.,019,2802,1,SBMN,SBTS,-3.130,-59.98,2.220,2.220,18:50,21:00,02:10,1,1,02:00,,,,,,LEL,BEZ,,RDZ,,,MOA,ADO,MAR,,,,69TVDI,DIURNO,210214,COMAE,PEO,SPMAS,FAB,1725,3,0,0,0,1443,1443,0
22/jan.,JAN.,019,2802,2,SBTS,ROTA,2.220,-55.93,0.0,0.0,21:30,21:50,00:20,2,0,00:20,,,,,,BEZ,LEL,,RDZ,,,MOA,ADO,MAR,,,,69TVDI,DIURNO,,COMAE,PEO,SPMAS,FAB,,,,,,400,,
22/jan.,JAN.,019,2802,2,ROTA,SBMN,0.0,0.0,-3.130,-3.130,21:50,23:20,01:30,2,1,01:25,,SBMN,1,,,BEZ,LEL,,RDZ,,,MOA,ADO,MAR,,,,69TVNO,NOTURNO,,COMAE,PEO,SPMAS,FAB,1650,0,0,0,0,0,400,0
23/jan.,JAN.,024,2803,1,SBMN,SBTF,-3.130,-59.98,-3.380,-3.380,01:40,03:05,01:25,1,1,01:15,,SBTF,1,,,CAI,PBO,,LUI,,,MAI,LUS,RBS,,,,69TV300,NOTURNO,210262,COMAE,PAOE,SPAOE,COVID-19,1230,0,0,0,0,3354,3354,0
23/jan.,JAN.,024,2803,2,SBTF,SBMN,-3.380,-64.73,-3.130,-3.130,04:05,05:30,01:25,2,1,01:15,,SBMN,1,,,PBO,CAI,,LUI,,,MAI,LUS,RBS,,,,69TV300,NOTURNO,,COMAE,PAOE,SPAOE,COVID-19,1230,0,0,0,0,0,0,0
